no.,가수,곡 명,발매년도,계절,노래가사,성별
0,"니화, 마독스",Passport,2019.11.8,여름,"지금 당장 챙겨 니 Passport 티켓은 이미 준비되어 있어 Wanna go to Malibu just with you Don’t worry, no deja vu, yeah it’s true 파란 파도에 몸을 던져 집에 가기 싫을 거야 Imma give u 20 준비해 baby All I need is your passport We’ll fly Touch the sky We’re going higher 손에 닿았어 벌써 쏟아지는 Palm trees 위를 걸어 떨어질 걸 생각 안 해도 될 걸 우린 자연스러워 더 Smooth 하게 Groove를 타줘 눈을 꼭 감아도 돼 멈추려 하지 마 Just know that I’ll go slower with you 아무것도 준비 안 했어 난 아무것도 필요 없어 몸만 챙겨 넌 넌 Don’t you know know 절대로 까먹지 말고 Passport 지금 당장 챙겨 니 Passport 티켓은 이미 준비되어 있어 Wanna go to Malibu just with you Don’t worry, no deja vu, yeah it’s true 파란 파도에 몸을 던져 집에 가기 싫을 거야 Imma give u 20 준비해 baby All I need is your passport We’ll fly Butterflies are flying 설레서 잠이 안 왔어 You’ve been on my mind 근데 넌 지금 내 옆에 Time will take us Sit back relax girl Enjoy the ocean view 이 순간을 시간으로 바꿔 멈추고 싶어 with you 아무것도 준비 안 했어 난 아무것도 필요 없어 몸만 챙겨 넌 넌 Don’t you know know 절대로 까먹지 말고 Passport 지금 당장 챙겨 니 Passport 티켓은 이미 준비되어 있어 Wanna go to Malibu just with you Don’t worry, no deja vu, yeah it’s true 파란 파도에 몸을 던져 집에 가기 싫을 거야 Imma give u 20 준비해 baby All I need is your passport 지금 당장 챙겨 니 Passport",남
1,조용필,여행을 떠나요,1985.04.10.,여름,푸른 언덕에 배낭을 메고 황금빛 태양 축제를 여는 광야를 향해서 계곡을 향해서 먼 동이 트는 이른 아침에 도시의 소음 수 많은 사람 빌딩 숲 속을 벗어나봐요 메아리 소리가 들려오는 계곡 속의 흐르는 물 찾아 그곳으로 여행을 떠나요 메아리 소리가 들려오는 계곡 속의 흐르는 물 찾아 그곳으로 여행을 떠나요 굽이 또 굽이 깊은 산중에 시원한 바람 나를 반기네 하늘을 보며 노래 부르세,남
2,장철웅,제주도의 푸른밤,2006.11.22.,여름,떠나요 둘이서 모든 것 훌훌 버리고 제주도 푸른밤 그 별 아래 이제는 더 이상 얽메이긴 우리 싫어요 신문에 TV에 월급봉투에 아파트 담벼락 보다는 바달 볼 수 있는 창문이 좋아요 깡깡 밭 일구고 감귤도 우리 둘이 가꿔봐요 정말로 그대가 외롭다고 느껴진다면 떠나요 제주도 푸른밤 하늘 아래로 떠나요 둘이서 힘들게 별로없어요 제주도 푸른밤 그 별 아래 그 동안 우리는 오랫동안 지쳤잖아요 술집에 카페에 많은 사람에 도시의 침묵보다는 바다의 속삭임이 좋아요 신혼부부 밀려와 똑같은 사진찍기 구경하며 정말로 그대가 재미없다 느껴진다면 떠나요 제주도 푸르매가 살고 있는 곳,남
3,볼빨간 사춘기,여행,2018.05.24.,여름,저 오늘 떠나요 공항으로 핸드폰 꺼 놔요 제발 날 찾진 말아줘 시끄럽게 소리를 질러도 어쩔 수 없어 나 가볍게 손을 흔들며 bye bye- 쉬지 않고 빛났던 꿈같은 my youth 이리저리 치이고 또 망가질 때쯤 지쳤어 나 미쳤어 나 떠날 거야 다 비켜 I fly away- Take me to London Paris New York city들 아름다운 이 도시에 빠져서 나 Like I'm a bird bird 날아다니는 새처럼 난 자유롭게 fly fly 나 숨을 셔 Take me to new world anywhere 어디든 답답한 이 곳을 벗어 나기만 하면 Shining light light 빛나는 my youth 자유롭게 fly fly 나 숨을 셔 저 이제 쉬어요 떠날 거에요 노트북 꺼 놔요 제발 날 잡진 말아줘 시끄럽게 소리를 질러도 어쩔 수 없어 나 가볍게 손을 흔들며 see ya- 쉬지 않고 빛났던 꿈같은 my youth 이리 저리 치이고 또 망가질 때쯤 지쳤어 나 미쳤어 나 떠날 거야 다 비켜 I fly away- Take me to London Paris New York city들 아름다운 이 도시에 빠져서 나 Like I'm a bird bird 날아 다니는 새처럼 난 자유롭게 fly fly 나 숨을 셔 Take me to new world anywhere 어디든 답답한 이 곳을 벗어 나기만 하면 Shining light light 빛나는 my youth 자유롭게 fly fly 나 숨을 셔 I can fly away Fly always always always Take me to new world anywhere 어디든 답답한 이 곳을 벗어 나기만 하면 Shining light light 빛나는 my youth 자유롭게 fly fly 나 숨을 셔,여
4,버스커버스커,여수밤바다,2012.03.29.,사계절,여수 밤바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 어 어 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 여수 밤바다 여수 밤바다 이 바람에 걸린 알 수 없는 향기가 있어 네게 전해주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 아 아 아 아 어 어 너와 함께 걷고 싶다 이 바다를 너와 함께 걷고 싶어 이 거리를 너와 함께 걷고 싶다 이 바다를 너와 함께 너와 함께 오 바다 이 조명에 담긴 아름다운 얘기가 있어 네게 들려주고파 전활 걸어 뭐하고 있냐고 나는 지금 여수 밤바다 여수 밤바다 아 바다 아아아아 하아아아 하아어 하 어어 하 하아아아 하아 어어어 뭐하고 있냐고 나는 지금 여수 밤바다,남
5,폴킴,휴가,2018.08.09,사계절,벌써 Monday 뭐야 나 한 것도 없는데 나 억울해 아직 피곤해 누가 나 좀 쉬게해줘 내버려둬 일할 기분도 아냐 핑계는 아니고 거짓말 아니고 날씨 좀 봐 죽이잖니 오늘 같은 날엔 됐고 Give me a break 어디든 떠나보자 떠나보자 지구본을 돌려 너 그럴 자격 있잖아 있잖아 We need a break We need We need a break 어디든 떠나보자 We need a break We need We need a break 어디든 떠나보자 All I want to do is party 다음날 출근 할 걱정없이 노는거야 핸드폰은 꺼놔 쉬는날 일땜에 연락하는거 무시해 No way 날씨 좀 봐 죽이잖니 오늘 같은 날엔 됐고 Give me a break 어디든 떠나보자 떠나보자 지구본을 돌려 너 그럴 자격 있잖아 있잖아 We need a break We need We need a break 어디든 떠나보자 We need a break We need We need a break 어디든 떠나보자 눈치보여 누가 뭐라해 Everybody 신경끄고 너만 잘하면돼 시간은 말야 돌아오지않아 Just let me go 됐고 Give me a break 어디든 떠나보자 떠나보자 지구본을 돌려 너 그럴 자격 있잖아 있잖아 We need 휴가 We need We need 휴가 어디든 떠나보자 We need 휴가 We need We need 휴가 어디든 떠나보자,남
6,태연,Why,2016.06.28,사계절,"Oh yeah yeah Oh 언젠가는 내 두 발이 Oh 닿는 대로 이끌리는 시선을 뺏겨버린 대로 가볍게 걸어갈 낯선 곳을 그리다 또 결국엔 허전한 긴 한숨에 멈춰 Why, Why, 돌아서 또 넌 Why, Why, 꿈만 가득해 지금 떠난다면 Good, Good, Good, yeah 만나게 될 모든 건 Great, Great, yeah 가벼워진 맘이Work, Work, baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why 나침반 위 돌아가던 바늘이 멈춘 곳에 가득 핀 이름 모를 꽃잎이 널 위해 끌어당긴 빛이 담긴 풍경 속에 어서 뛰어들어 나보다 자유롭게 더 Why, Why, Why, 괜히 미뤄 왔던 날 많았던 걱정이 모두 다 사라진 tonight yeah 바람 불어오면 Good, Good, Good, yeah 펼쳐지는 모든 건 Great, Great, yeah 달라지는 맘이 Work, Work, baby 이미 이미 눈 앞에 아른아른대는데 지금 떠난다면 Good, Good, Good, yeah 만나게 될 모든 건 Great, Great, yeah 가벼워진 맘이Work, Work, baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why 쫓아가기도 벅차 숨이 찬 세상이 전부는 아냐 하루 종일 걸어도 똑같은 풍경은 절대 보이지 않아 하얀 종이에 적어 본 Why 잉크처럼 번지는 맘 I’m falling I’m falling I’m falling to you 바람 불어오면 Good, Good, Good, yeah 펼쳐지는 모든 건 Great, Great, yeah 달라지는 맘이 Work, Work, baby 이미 이미 눈 앞에 아른아른대는데 지금 떠난다면 Good, Good, Good, yeah 만나게 될 모든 건 Great, Great, yeah 가벼워진 맘이Work, Work, baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why",여
7,김동률,출발,2008.01.25,사계절,"아주 멀리까지 가 보고 싶어 그곳에선 누구를 만날 수가 있을지 아주 높이까지 오르고 싶어 얼마나 더 먼 곳을 바라볼 수 있을지 작은 물병 하나, 먼지 낀 카메라, 때 묻은 지도 가방 안에 넣고서 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 멍하니 앉아서 쉬기도 하고 가끔 길을 잃어도 서두르지 않는 법 언젠가는 나도 알게 되겠지 이 길이 곧 나에게 가르쳐 줄 테니까 촉촉한 땅바닥, 앞서 간 발자국, 처음 보는 하늘, 그래도 낯익은 길 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 새로운 풍경에 가슴이 뛰고 별것 아닌 일에도 호들갑을 떨면서 나는 걸어가네 휘파람 불며 때로는 넘어져도 내 길을 걸어가네 작은 물병 하나, 먼지 낀 카메라, 때 묻은 지도 가방 안에 넣고서 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 내가 자라고 정든 이 거리를 난 가끔 그리워하겠지만 이렇게 나는 떠나네, 더 넓은 세상으로",남
8,버즈,나에게로 떠나는 여행,2005.03.03,여름,저 푸른 바다 끝까지 말을 달리면 소금 같은 별이 떠 있고 사막엔 낙타만이 가는 길 무수한 사랑 길이 되어 열어줄거야 낡은 하모니카 손에 익은 기타 Your melody(나는 떠날래) 어린왕자 Your melody 찾아 떠날래 *Far away you’re my sunshine We were together 나는 사랑보다좋은 추억 알게 될거야 텀블러 한잔에 널 털어 넘기고 이젠 나를 좀더 사랑할거야 저 끓어넘친 태양은 부글거리고 오랜 꿈은 삐꺽거리고 쿨럭인 자동차를 타고서 꿈의 날개로 구름 속을 산책할거야 낡은 하모니카 손에 익은 기타 Your melody(나는 떠날래) 어린왕자 your melody 찾아 떠날래 *Far away you’re my sunshine We were together 나는 사랑보다 좋은 추억 알게 될거야 For my life find my life 찾아 누릴 천국에 지지 않을 너를 안게될거야~ *Far away you’re my sunshine We were together 나는 사랑보다 좋은 추억 알게 될거야 For my life find my life 찾아 누릴 천국에 지지 않을 너를 안게될거야~,남
9,이하이,World Tour,2016.03.09,사계절,"당분간만 음소거를 누르고 파 이렇다저렇다 뭐 어쩌라는 건데 더는 묻지 마 (nope) 이미 폰은 뒤집어놨어 아쉽지만 모두 다음에 봐 밤이 낮이 될 때까지 리듬 속에 내 몸을 숨기고 New York, Paris 지구 몇 바퀴를 돌고서 새로운 사랑에 빠질지도 oh 긴가민가 고민하지 마 긴 자로 잰다고 답이 나오나 한밤의 꿈처럼 깨버린대도 Goodnight Goodnight I'm havin' a good time (right?) I’m gone gone I'm gone gone 눈에 익은 사람들과 환경 다시 마주치기 싫은 악연 지겨워질 때쯤 비행기를 타고 이 땅과 제일 먼 곳으로 I'll go 나를 찾지 마 핸드폰은 안 터지니까 누구보다 높이 오르고 싶다 라는 말이 이건 아니었지만 I'm gone 매뉴얼이 있다면 지금보단 괜찮을까 그깟 사랑도, 사람도 답은 아닌 것 같은데 그간 번 돈 몽땅 쓰고 다시 일의 노예가 될지도 모르지만 그냥 내버려 둬 밤이 낮이 될 때까지 뭐가 그리 크게 변한다고 하나같이 팔짱 단단히 낀 채로 심각하게 굳어있는지 oh 하늘로 올라가니 빨간 십자가들마저 경쟁하는 듯해 모순된 믿음의 향연 물론 나의 믿음은 거짓이 아닌데 익숙함이 무서워 떠나고 싶네 어렸을 때 슈퍼맨처럼 난 망토를 매고 2층에서 뛰었네 동심이 죽기 전에 그때의 나를 찾으러 여권을 들이미네 나잇값을 계산하긴 아직 잔돈이기에 긴가민가 고민하지 마 긴 자로 잰다고 답이 나오나 한밤의 꿈처럼 깨버린대도 Goodnight Goodnight I'm havin' a good time (right?) l’m gone gone I'm gone gone 언제까질진 몰라도 불시착일지 몰라도 이 비행을 멈출 순 없어 긴가민가 고민하지 마 긴 자로 잰다고 답이 나오나 한밤의 꿈처럼 깨버린대도 Goodnight Goodnight I'm havin' a good time (right?) Don't think about it Don't think about it Don't think about it Don't think about it Don't think about it Don't think about it Don't think about it Don't think about it too much Don't think about it too much Don't think about it too much Don't think about it too much Don't think about it too much",여
